sector,AnilaoHill,BigainHill1,BigainHill2,Buboy,BuhoMalasakot1,BuhoMalasakot2,BuhoMasalakot3,BuhoMasalakot4,Bulalo,LaMesa,Lansay,Macolod1,Macolod2,Macolod3,Macolod4,Macolod5,Macolod6,Macolod7,Macolod8,Macolod9,Macolod10,Macolod11,Macolod12,Macolod13,Macolod14,Macolod15,Macolod16,Macolod17,Macolod18,Macolod19,Macolod20,Macolod21,Macolod22,Macolod23,Macolod24,Macolod25,Macolod26,Macolod27,Macolod28,Macolod30,Macolod31,Macolod32,Malauban,Olilia,Tombol
1,19.41409492,13.13096237,12.55836105,22.54178047,23.4300766,31.53040314,6.759497404,33.23720551,19.14608955,7.451917648,14.14658451,2.340361595,35.32467842,8.326743126,22.97174454,6.59923172,20.14135265,15.67257929,12.73272419,19.83938408,30.11978722,18.7625246,35.82305908,12.03975582,13.19126415,28.49077415,27.63036537,22.75148201,21.7401104,20.27828979,21.98746681,8.159803391,8.124771595,14.34077644,18.25362778,26.9562664,4.669442654,5.129190445,32.56698227,11.41935444,18.24228573,9.939659119,16.64671707,21.02268982,15.63688517
2,20.26476097,16.19966698,9.862596512,18.55689812,23.4492569,31.74997234,8.553454876,30.04299831,23.29820442,7.559623718,16.23617935,2.190249205,33.53138351,9.749202728,26.68319702,6.520633221,19.61294746,17.03078747,21.92017365,18.06601429,29.89926529,15.69115543,33.8895607,14.53164577,12.14252901,28.37172699,25.69721413,27.60953712,31.17039871,23.62358093,23.79690933,9.737299919,14.39198923,17.33423805,12.6638155,28.42728806,4.833810329,5.432937145,28.01590252,17.56755638,20.07037354,5.475395679,18.21200943,18.5860014,13.92702484
3,25.25733376,15.79087448,11.08022833,19.67451668,28.54468536,34.00209236,9.55931282,27.82454586,25.42404366,8.301746368,18.4047699,2.370278955,34.34700394,11.7242012,28.88337708,5.285885334,19.78359985,24.21792793,19.36056709,19.15708065,31.23653412,21.06181812,33.55672836,14.47838402,12.54875946,34.76651382,26.85616493,27.80836678,28.9180851,25.53645897,25.8929863,10.50270557,15.81211472,21.76566505,15.46520996,27.26562119,5.479519367,5.216887712,24.37610435,22.33687782,22.84004498,6.020661354,21.56833458,17.19051552,17.34836864
4,29.35459805,15.87084341,12.74366856,22.10147667,27.09939384,32.79434586,7.84261322,29.09631157,30.91935349,7.001209736,14.50110626,3.240953684,29.36774254,12.55143929,30.19635201,5.952550411,20.11770058,25.98004532,18.72511005,20.27111435,30.39591789,25.36508465,28.57603073,13.46398067,13.2350893,35.36736679,28.50477982,25.6067276,31.75618362,27.61282158,25.50826454,8.062699318,14.35982323,28.29778862,12.68886566,25.90036011,4.820647001,6.269940853,21.05591202,24.34193802,18.79323769,14.21268654,19.07888603,15.48907471,18.84811783
5,26.42760658,12.52881527,11.25461864,13.22512054,24.73812866,26.45524311,8.279531479,31.21642208,29.9010191,7.167943954,20.91284847,3.595975399,28.14527321,12.4836731,32.50615501,7.373805761,16.3760643,27.6349678,16.16572189,21.34308624,28.71760178,24.82859325,15.17343712,13.04132938,15.17245388,34.46443748,29.07762527,26.2826519,32.98254013,26.28081512,26.4435854,9.981776237,12.99906158,30.76314831,13.62608624,22.96009254,4.904771328,6.879781485,30.78556633,26.36014938,14.8594451,18.06532097,15.28598881,13.56913328,17.32699394
6,19.87628937,16.19858646,11.14111996,14.16207409,27.90365028,29.1199379,8.381326675,30.93305016,25.85594559,7.735467672,21.23280621,4.610300064,18.08584785,14.20884514,33.38358116,8.470830917,20.14323044,25.04026604,15.1495409,22.0495739,26.39152908,28.52465916,16.62289047,20.2516222,15.95345879,38.35321808,26.23601532,25.71173286,33.066782,24.48206902,25.49275494,12.51503086,14.31740189,28.38010788,16.92439461,20.47756004,5.109331131,6.857246399,32.92505264,27.6488018,12.86111498,15.84863377,14.30190372,13.29045677,21.40762615
7,22.17903137,23.12692261,11.41961765,13.94653416,27.5001049,33.787714,9.934410095,31.05644989,24.08644676,8.922618389,19.22216606,4.998782635,12.90125704,11.47020435,33.89208221,9.788702488,28.45079803,21.73816681,18.11141205,21.47756386,28.53094292,26.90930557,15.9661622,19.19392204,15.07573938,38.73944855,24.71222115,24.73042488,33.48991013,23.54801369,21.22169113,11.77387905,15.24071932,27.32624054,20.07577324,17.33721352,4.869014263,7.19775486,29.96096611,28.47662258,12.50014448,14.95959759,15.54437971,11.89897823,21.95388412
8,22.83824921,23.99363327,12.6670208,18.45215416,27.8122654,31.25805664,10.23408556,30.44374657,17.74845886,9.520843029,19.60209942,5.08622694,23.02958679,11.52687311,32.72060013,11.5537653,30.81803417,16.54506874,19.77535915,17.01019096,27.187994,26.02732277,13.8378973,21.13620377,13.87947369,35.04268837,21.05913734,19.22199917,35.10535431,23.52246666,16.86192131,10.76562881,15.56915474,28.51320457,15.18679476,17.41644859,4.980472326,7.408747196,31.74234962,30.46739388,13.41876841,25.32139587,15.84728146,11.00274515,25.51099205
9,26.99848461,16.85351944,14.7958622,19.05954647,27.66464996,31.6174469,9.14473629,29.35955811,15.33368206,13.64535427,18.63636017,4.96360445,21.7448597,10.6111393,31.02024364,12.47499466,29.78142548,9.550822735,19.39776039,17.63033676,27.5705719,22.55408669,13.58416367,21.10052776,11.36603689,35.0122261,20.74714756,14.36605692,33.86421585,24.34244347,19.68736649,7.794050217,23.79273129,28.37466049,14.32051468,20.78844261,5.448646545,7.834239006,32.80823135,23.91444206,14.55108833,33.97057343,18.42349625,9.573316574,26.57123756
10,23.42780304,16.18545151,17.12338066,19.99709511,26.08706093,29.31790829,11.43873882,28.8649292,28.06685543,13.97346687,14.41534662,4.67214632,22.03678513,10.97983789,29.74477386,15.63707542,29.20937538,13.31845474,19.74681473,17.00058937,28.13289452,18.47219181,14.73748446,19.44145966,16.05306721,37.0019455,21.07159042,13.28730249,29.76112461,23.2697506,19.76293945,7.102944851,18.90732956,25.88042641,16.02402687,25.14946175,5.138418198,6.744920492,34.40484238,27.34390545,14.47427988,39.67577362,19.12708473,9.763938904,22.09253883
11,19.66243458,15.41577244,16.47558689,20.51413155,26.64188862,27.93726158,10.31271315,27.01969337,21.9105444,13.28432989,19.425704,5.63096714,17.65587044,10.12749386,28.34165573,14.87141132,29.05002785,14.02122402,21.066782,19.77919006,27.19463634,22.79249763,8.206289291,14.28433418,18.29791832,37.21233559,22.85434246,26.27978134,23.14498615,19.96755028,15.63928223,9.124729156,16.80787086,26.35028744,19.56696892,25.76556969,5.866760731,6.386646986,35.06320381,26.87727165,14.85604095,38.68242073,17.15842056,9.387504578,18.94923592
12,17.98794365,13.38944674,17.19132233,22.02768993,21.83997631,28.9694376,10.78476954,20.88901997,18.20817757,15.14100552,13.26938343,6.707805634,14.50589228,13.88695669,24.05265903,15.83130169,24.47857571,15.47250938,26.3518095,21.27012157,23.18162155,17.62279701,11.84008312,14.56773663,11.92132664,27.28761578,20.48574448,19.74416924,16.60826683,17.47309875,15.573246,9.442991734,18.07978725,22.1067009,19.65714455,25.66708946,6.035913467,7.642186642,36.00525856,19.14434624,16.60381413,42.50857544,18.11082268,8.741883278,20.08047104
13,18.63523293,16.8204031,19.00585365,9.13227272,24.54724407,30.09413147,9.3499403,17.38008308,16.57935524,15.83650684,11.37920189,7.572085857,15.53375053,18.19396591,26.0725832,19.80603123,20.36585236,17.33956337,25.37615585,22.09040642,21.74892998,20.97233105,12.70324373,16.79029465,16.42600536,28.18151474,24.86216927,16.44646835,24.38715363,13.68106747,11.76843739,7.621470451,19.65215302,19.41015244,24.11690426,25.14608383,7.006143093,10.90950155,30.73806,21.12987137,16.99320793,39.88455963,16.93919468,11.40822506,21.18169689
14,21.30904007,16.70069313,18.02697563,9.118359566,24.78837776,29.86720657,9.658711433,22.74190235,20.92189789,13.99493361,14.11929083,6.4754076,17.35223579,17.19469643,27.62987232,21.89700985,22.97294807,19.02714539,24.88996506,25.59836769,15.07164764,18.90290737,20.1029129,11.02569771,22.76313782,28.93227482,25.02644539,16.05941582,29.72980309,10.62733078,9.616686821,7.029746771,13.30012274,19.79706001,18.34601879,23.83359718,7.12925148,12.3852129,29.65455055,26.21309662,15.04164839,38.11461639,15.97741699,9.005847931,33.03368759
15,22.51670074,15.84870052,18.307621,6.633834124,29.59579277,31.02593517,9.529734612,21.45031834,17.53264332,12.42021847,13.67720795,6.317203045,16.21972656,14.22311354,29.10526657,23.66538239,25.20813751,10.61951971,25.97292709,26.49370098,20.17377853,20.83167458,21.28611851,9.669762611,24.70499992,26.71484947,22.82648754,14.59142113,28.07546997,14.33785391,10.43271446,6.374463797,15.9511137,21.69688606,21.29049587,29.1291008,6.395542622,11.8285017,29.47710228,29.24527359,16.81268501,38.03396606,12.45757103,10.58467817,32.81572723
16,22.74802017,15.59110546,18.82405853,8.520316124,29.71489716,30.86604118,8.927118301,21.4777565,11.18262529,11.39301395,16.92305565,5.163950205,17.55706596,13.67946053,31.73020267,23.86795998,26.03542423,11.96702909,28.77470589,27.60459709,25.61944008,19.67512512,21.35267925,9.257906914,24.87271214,29.76636887,28.68330956,16.06501293,27.79357529,21.94297028,12.27685356,6.160365582,15.56851196,23.78549767,25.58402634,31.60052299,9.370258331,10.49209595,30.78190422,19.01067734,15.25202465,36.75416374,10.35084343,6.818496227,28.95309639
17,24.86436558,18.04065323,19.41405678,8.155684471,32.36128616,23.85938644,9.185891628,22.60558414,8.681834221,10.59518528,21.61440086,5.117544174,18.36170101,11.661129,33.1038475,22.91261673,29.26179504,11.401299,31.6335144,30.24315071,27.77826309,21.63673973,20.74133873,9.229387283,21.91384888,33.21173859,26.89010048,16.99802589,27.18358994,23.54524899,12.30169678,6.435456514,19.14336777,22.66122627,27.88458633,32.62618637,8.637108803,9.802025318,31.9098053,20.07417393,12.45966625,28.57225418,10.68334818,10.26775455,26.61851501
18,25.00616932,14.28013325,20.66969872,11.07580471,33.10651207,31.04581642,7.957101107,17.91942787,14.10168171,12.23941278,24.95284462,5.410587311,14.73090267,8.674718857,34.16074753,22.10578346,28.95278168,15.1233964,31.10478592,30.54532814,28.624753,18.28211594,20.18490601,9.136268139,17.08726883,33.74666214,21.86138725,18.35140228,23.60573769,24.73364258,15.10096169,6.94014883,16.26573372,21.47862244,27.75040913,34.28305054,8.282471657,9.598433495,26.18074608,18.90866947,14.42055368,16.81993103,10.57643414,13.41786003,31.87846565
19,20.27107048,15.11307716,19.95713711,19.15430641,29.69890785,33.0131073,8.334358215,19.45460701,17.77182579,11.67152214,28.23404026,4.889238834,8.514998436,11.72533607,30.96962166,22.19212532,29.52980042,16.90230179,29.80887985,28.12342834,30.67946243,23.77193356,20.22006321,9.680819988,27.25716782,34.08661842,21.87357807,16.99103737,26.84633446,22.51881409,16.68059635,6.595685244,14.26715279,19.25855637,23.62121201,32.87173653,7.955296755,8.317625999,29.49870396,19.65947342,10.42755413,11.37653065,9.943261623,10.74189472,32.23929596
20,18.19240761,17.18159771,19.81759834,18.07112122,26.72919559,31.74695873,8.383419991,18.31203079,15.65016937,8.727490425,29.8342514,4.705242872,13.86684513,10.72526789,29.94141102,22.06590271,30.15017033,18.97830772,30.02733326,21.5854702,31.39517307,24.75514221,20.30892086,9.693062782,29.17314529,35.45298004,29.6811676,17.84886551,25.84561729,23.13108635,19.27393723,10.72036123,26.43003845,17.8278656,19.29380035,31.18334293,5.045930624,6.864197731,33.92403412,20.15698433,13.34246635,18.18861771,9.138727188,8.321969032,32.65186501
21,18.96462059,13.86336756,18.34096622,17.88150978,25.3450737,31.61591721,7.188963413,22.65283394,13.01034737,10.03516102,29.73089123,4.579613686,27.60480309,7.374011993,25.3169136,20.89230919,30.55302715,16.78603554,25.86322403,22.62053299,29.11568928,25.82123089,27.48178482,10.32795715,29.18848419,37.37569618,33.38159752,17.18792534,26.15783978,22.70711327,20.56360817,10.34733438,36.85919189,17.4374094,16.6881218,32.15019608,3.946392775,6.581837893,50.55620193,21.12931633,15.3884325,19.35109806,9.189633369,12.39704132,25.28738785
22,22.00383759,10.81595039,14.30328274,13.73651171,25.72575855,35.00417137,7.237125397,23.37103462,17.58905792,9.948168278,27.83938789,4.233948946,27.4607954,4.346374512,24.65361023,20.84422684,30.84265137,12.3955183,22.49912643,20.92018127,28.63472462,25.82192326,32.84030533,10.99939489,20.46912193,33.98659515,29.00070572,19.06492805,34.09019089,20.72486115,20.44824028,8.612444878,20.41180801,13.01289129,17.10331345,34.72587013,6.018318176,5.592509747,58.39686966,19.56649017,13.77597523,12.55536079,10.60143661,15.90088367,18.53454399
23,23.64130306,13.86645746,16.36864471,18.76330376,23.01354218,31.34216309,8.713476181,25.10329819,15.95028591,7.499475002,20.99389172,3.740771532,28.45711517,5.722270012,19.19730568,17.60344887,29.64551353,14.9863224,16.8489933,20.94396973,30.589324,22.32367897,34.73945618,13.46785545,16.70238876,33.28157043,27.85982037,20.15786934,29.29322433,18.23088169,18.75112057,8.684778214,8.535560608,11.84993601,17.28212547,35.08130646,6.846185684,5.827476025,51.52127457,18.54271889,12.00136757,7.498177767,12.07959127,16.91320705,20.02254486
24,22.25899029,14.19809628,15.10431957,16.99355125,23.80478382,31.25286293,7.612036467,30.73227501,15.96061134,7.096959114,14.13896894,2.789606214,33.4307518,7.351158142,18.35192299,10.91041183,25.96513939,13.50741196,13.20374489,21.49098587,29.2385273,17.49142647,35.70641327,13.76473999,14.32922554,34.25469398,30.61774349,20.61850548,22.41067123,18.04350376,21.1292057,8.514978409,6.325361013,10.69532013,16.03430557,27.29654503,5.250244617,5.478827953,34.80952835,17.19287872,16.45271683,10.15804577,15.32740307,20.32549763,20.98700523
25,13.43524885,18.22609507,21.59745616,31.00490946,10.74564454,7.871128084,13.25658624,19.42354945,29.85524539,26.89856854,28.42746825,30.30881015,35.26121749,29.2167991,15.41397723,42.74479495,17.8856239,29.25862546,25.40238362,17.59508364,14.15327237,15.76553563,39.01881365,28.96395027,31.01921512,10.95537499,13.85005008,22.57224456,16.53700765,19.54384491,27.06968892,20.64489285,37.18494619,26.47618533,23.47422566,19.03088125,23.65692599,28.00079936,25.24139512,20.98511642,18.18355156,56.11373597,24.90396897,30.70113372,25.17783072
