volcano,sector_id,latitude,longitude,SlopeMean(,AzimAxisBa,alternate_,lithology,font_weight,paguican_c,rrl_class,age,rrl,sector,volcano_2,sector_mea,sector_med,sector_std,sector_min,sector_max,sector_ran,sector_maj,sector_iqr,cov
AnilaoHill,AnilaoHill_1,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,1,AnilaoHill,20.22872591,19.41409492,4.288387812,9.216393471,27.09461975,17.87822628,9.216393471,6.5744,13.43524885
AnilaoHill,AnilaoHill_2,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,2,AnilaoHill,20.43992627,20.26476097,4.9371267,1.208887696,26.31603622,25.10714853,1.208887696,7.9535,13.43524885
AnilaoHill,AnilaoHill_3,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,3,AnilaoHill,24.79508015,25.25733376,4.436534112,6.700294971,31.36841202,24.66811705,6.700294971,5.4077,13.43524885
AnilaoHill,AnilaoHill_4,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,4,AnilaoHill,26.4914954,29.35459805,6.319664944,2.31208539,33.6645813,31.35249591,2.31208539,9.6812,13.43524885
AnilaoHill,AnilaoHill_5,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,5,AnilaoHill,25.43637135,26.42760658,9.14701384,6.289076328,42.70956039,36.42048407,6.289076328,13.444,13.43524885
AnilaoHill,AnilaoHill_6,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,6,AnilaoHill,21.23443404,19.87628937,13.05426857,0.866654575,55.49749374,54.63083917,0.866654575,13.7784,13.43524885
AnilaoHill,AnilaoHill_7,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,7,AnilaoHill,25.47063149,22.17903137,15.46542404,6.651074409,58.86669159,52.21561718,6.651074409,19.2883,13.43524885
AnilaoHill,AnilaoHill_8,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,8,AnilaoHill,26.16726231,22.83824921,16.32764552,6.703185558,59.92963028,53.22644472,6.703185558,24.2098,13.43524885
AnilaoHill,AnilaoHill_9,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,9,AnilaoHill,26.24073148,26.99848461,12.05140554,5.870841026,54.61651993,48.7456789,5.870841026,17.062,13.43524885
AnilaoHill,AnilaoHill_10,13.909236,121.17872,22.5368,74.0546,AnilaoHill,basalt,heavy,Small flat cone,scoria cone,0.87+/-0.13 Ma (K-Ar),Based on Phivolcs Catalog of Philippine Volcanoes,10,AnilaoHill,23.3074567,23.42780304,11.18227599,4.775894165,47.22589493,42.45000076,4.775894165,17.2036,13.43524885
